# command: python3 scripts/harness_regression.py
# cwd: /home/jett/Documents/GitHub/taleb-formalization/Taleb_Lean_Repairs
# start: 2026-09-19T02:29:04Z
# git HEAD: 0a12030022103ca0dd0323530e4124b821a6e071
valid                            exit=0 status=PASS -> ok
private_sorry_theorem            exit=1 status=FAIL -> ok
private_sorry_def                exit=1 status=FAIL -> ok
private_axiom                    exit=1 status=FAIL -> ok
structure_namespace_theorem      exit=1 status=FAIL -> ok
protected_theorem                exit=1 status=FAIL -> ok
alias_map_mismatch               exit=1 status=FAIL -> ok
alias_map_mismatch_optimized     exit=1 status=FAIL -> ok
orphan_module                    exit=1 status=FAIL -> ok
dirty_dependency                 exit=1 status=FAIL -> ok
ALL FIXTURES BEHAVED AS EXPECTED
# end: 2026-09-19T02:42:22Z
# elapsed_seconds: 798
# exit_code: 0
