'AuditExtremes.maxLeEvent_eq_iInter' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.minGtEvent_eq_iInter' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.minGeEvent_eq_iInter' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.maxLtEvent_eq_iInter' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.maxRV_preimage_Iic' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.minRV_preimage_Ioi' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.measure_maxLeEvent' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.measure_maxLeEvent_of_forall_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.measureReal_maxLeEvent_of_forall_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.measureReal_maxLeEvent_frechet' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.measureReal_maxLeEvent_gumbel' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.measure_iInter_preimage' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.measure_minGtEvent' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.measure_minGeEvent' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.measure_maxLtEvent' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.measure_minGtEvent_of_forall_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.measureReal_minGtEvent_of_forall_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.measure_preimage_of_map_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.measure_maxLeEvent_of_map_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.measure_minGtEvent_of_map_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.measurable_maxRV' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.measurable_minRV' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.cdf_map_maxRV' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.measureReal_map_minRV_Ioi' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditExtremes.measureReal_map_minRV_Ioi_eq_one_sub_cdf' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditRV.regularlyVarying_zero_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditRV.regularlyVarying_power' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditRV.IsRegularlyVarying.congr' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditRV.IsRegularlyVarying.const_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditRV.IsSlowlyVarying.mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditRV.IsSlowlyVarying.rpow' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.HasFiniteTailExponent.unique' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.HasFiniteTailExponent.liminf_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.pareto_power_tail' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.two_power_tail' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.two_power_tail_min' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditMoments.gamma_mixture_excess' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditMoments.gamma_mixture_excess_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditGaussian.coe_varianceOfScale' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditGaussian.charFun_gaussianReal_eq_stableS1Expr' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditGaussian.convolutionPower_gaussianReal_scale' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditGaussian.convolutionPower_gaussianReal' depends on axioms: [propext, Classical.choice, Quot.sound]
